Time	C	R	Q	W	M1	M2	NetRevenue	Standard Deviation
May-99	0	118	100	27	5	2	1985504.233	48037.65511
Jun-99	0	35	35	32	4	1	634592.3667	30411.55475
Jul-99	1	200	36	5	2	3	253613.9333	22599.26557
Aug-99	1	88	132	18	5	5	318861.2	25452.73937
Sep-99	0	122	119	32	5	4	1833674.9	26202.82288
Oct-99	0	90	162	29	4	1	-100446.8	21157.87193
Nov-99	1	28	113	30	1	3	-510447.1667	31764.69161
Dec-99	0	54	99	36	1	3	-507523.1667	23120.99367
Jan-00	0	142	139	39	4	4	1682501.467	26546.99762
Feb-00	0	153	16	28	1	2	-133932.2667	29904.50695
Mar-00	0	73	86	17	2	1	315754.0333	33602.7535
Apr-00	1	189	54	34	4	4	740221.0667	17622.92514
May-00	0	160	134	4	5	1	294357.4667	28320.89428
Jun-00	1	15	34	39	4	3	594896.1667	12330.11036
Jul-00	1	129	158	20	2	5	-521288.3	22836.22928
Aug-00	1	24	89	11	5	5	966453.3667	26197.38186
Sep-00	0	176	161	18	3	3	1066540.533	21396.79404
Oct-00	1	48	113	26	2	5	-92145.53333	17227.64841
Nov-00	0	108	155	38	5	3	1699222.2	33048.94696
Dec-00	0	10	147	26	3	5	1339240.967	46082.55957
Jan-01	1	48	38	15	3	3	1002993.267	18021.67268
Feb-01	1	94	152	3	5	2	441928.9	22421.00261
Mar-01	0	134	170	31	5	4	1484763.333	22494.94741
Apr-01	1	149	66	27	2	2	-51548.4	27198.25129
May-01	1	57	85	48	5	1	-270753.8667	26872.28692
Jun-01	1	37	48	47	1	3	-356499.8333	23479.00498
Jul-01	0	20	111	32	5	2	1746332.433	25658.74859
Aug-01	0	103	67	8	1	3	33060.16667	25476.50742
Sep-01	0	81	96	20	2	3	800844.7333	30003.7525
Oct-01	1	43	115	5	4	1	-12377.53333	21899.91505
Nov-01	0	13	44	9	3	2	1739147.033	19231.20213
Dec-01	0	193	83	31	5	3	1947956.467	23603.73864
Jan-02	0	46	84	45	4	3	1921637.467	36072.09435
Feb-02	1	100	97	50	5	4	576065.4	15557.34783
Mar-02	1	27	118	5	2	3	267980.5333	21655.98659
Apr-02	1	60	128	38	2	5	-321770.4	30180.81028
May-02	1	61	173	8	2	2	-150187.3333	14204.88551
Jun-02	0	112	135	41	1	3	-938650.7	21757.27231
Jul-02	1	195	81	45	2	5	-549604.9	24463.02854
Aug-02	0	163	143	46	4	5	1574263.267	23689.01562
Sep-02	1	47	186	29	1	2	-714589.6	15474.98511
Oct-02	1	159	193	10	1	2	-921503.8333	17586.72111
Nov-02	1	134	31	43	1	5	-674779.7333	20349.49592
Dec-02	1	189	172	38	4	4	-87789.73333	15700.96919
Jan-03	1	142	106	39	5	4	395854.8333	24298.76743
Feb-03	0	41	144	37	4	2	1299445.5	22931.17667
Mar-03	0	96	34	29	5	4	2406762.967	25470.95407
Apr-03	1	154	93	13	4	1	-334627.3667	20184.9699
May-03	0	141	56	47	1	2	-782073.9	25163.92841
Jun-03	1	60	147	10	2	1	-279875.1	22355.83786
Jul-03	1	177	99	28	3	1	-522757.0667	17640.03821
Aug-03	0	23	106	35	3	4	1396934.533	33551.55498
Sep-03	1	129	147	11	5	1	-531427.7667	29486.00757
Oct-03	1	188	110	3	5	5	118171.6333	20129.43755
Nov-03	0	181	155	8	2	2	346237.0667	34517.70136
Dec-03	0	18	73	29	3	2	1384668.3	22284.4269
Jan-04	1	107	100	39	5	2	624746.7333	24330.95254
Feb-04	0	142	56	2	5	1	835055.7	31118.41277
Mar-04	0	80	183	48	1	3	-1164865.567	19653.3085
Apr-04	1	62	73	45	4	1	-161134.9	22164.20309
May-04	1	154	31	7	5	2	1188387.467	21559.30151
Jun-04	0	164	141	7	4	4	1656730.2	23602.43615
Jul-04	0	134	106	4	3	2	1538545.033	29286.12674
Aug-04	0	119	200	14	1	5	-725669.9333	24470.06585
Sep-04	1	108	128	29	5	5	292210.9333	24908.50392
Oct-04	0	31	50	27	4	5	2005826.333	30658.58582
Nov-04	0	44	127	11	5	2	2095596.567	31032.41973
Dec-04	0	185	23	30	1	1	-480356.7667	20644.46882
Jan-05	1	155	171	8	4	2	107121.9	14037.28385
Feb-05	1	99	193	22	3	5	-155444.9	45974.87372
Mar-05	0	82	101	27	3	1	217688.4667	30357.30542
Apr-05	0	109	16	8	5	1	1196533.133	35017.89173
May-05	0	177	20	4	1	3	207723.2	28908.24414
Jun-05	0	192	146	8	4	2	1492542.7	26265.21871
Jul-05	1	65	103	32	1	1	-548788.3	10702.8165
Aug-05	0	168	105	31	5	5	1725744.6	32594.3812
Sep-05	0	180	101	38	4	4	1850554.633	26630.73245
Oct-05	1	43	123	48	3	2	171524.9333	20885.99976
Nov-05	1	77	186	32	4	4	232462.0333	15930.60768
Dec-05	1	167	62	22	2	1	-334460.8333	13047.30324
Jan-06	0	115	47	9	3	1	826639.8667	31090.86434
Feb-06	1	55	177	32	3	4	106580.1	27143.253
Mar-06	1	12	81	20	1	1	-163803.0333	13559.11076
Apr-06	1	20	169	37	2	3	-278673.5	35947.76839
May-06	1	77	20	24	5	3	1056047.233	17576.93712
Jun-06	1	36	173	23	2	1	-412042.1333	11559.34799
Jul-06	0	79	131	30	2	3	364062.7	44269.66342
Aug-06	1	138	83	28	2	3	-106934.3333	26850.67763
Sep-06	0	133	197	20	3	2	736534.3667	25975.03788
Oct-06	0	172	57	50	3	4	1128794.633	36100.40954
Nov-06	1	159	114	33	3	5	55274.16667	24214.49969
Dec-06	0	102	50	15	4	1	771187.5667	35827.29038
Jan-07	0	170	146	16	2	3	326738.7667	25378.56136
Feb-07	1	126	114	50	3	3	97443.56667	21754.90351
Mar-07	0	74	91	37	1	3	-590366.3333	18490.64818
Apr-07	1	153	126	45	1	3	-1099850.467	16133.768
May-07	0	18	36	3	4	3	1987739.1	25105.26313
Jun-07	1	47	96	18	2	5	74511.23333	21954.60427
Jul-07	0	67	158	26	1	3	-582522	40352.58419
Aug-07	0	165	53	20	4	5	2207319.733	25354.03773
Sep-07	0	122	104	49	5	1	-389333.0667	28857.79843
Oct-07	0	107	24	39	5	4	2268581.167	23112.01434
Nov-07	0	18	171	6	2	5	749644.9667	47670.71852
Dec-07	1	57	164	49	1	5	-1119448.3	34944.01863
Jan-08	1	114	28	9	3	5	1095898.5	24291.92284
Feb-08	1	137	40	21	2	5	156872.5333	20929.41156
Mar-08	1	144	128	18	4	4	310266	23765.48707
Apr-08	0	40	24	23	5	4	1318631.8	33916.44716
May-08	1	131	74	37	2	3	-103923.4667	16398.2917
Jun-08	1	26	105	20	4	4	898051.7333	23279.42771
Jul-08	0	18	40	23	4	3	1721104.533	23498.10643
Aug-08	0	36	200	39	2	3	74702.53333	29534.58677
Sep-08	0	112	53	10	4	3	2525064.2	25716.68185
Oct-08	0	136	131	38	5	4	1669980.033	35722.47501
Nov-08	0	26	150	16	5	3	2057222.633	28288.59227
Dec-08	0	49	155	47	5	3	1762681.867	34190.096
Jan-09	0	73	179	4	2	3	709625.9333	19693.09275
Feb-09	1	101	97	22	4	2	622618	16336.96149
Mar-09	1	191	14	9	3	1	249144.7	18772.77758
Apr-09	0	21	74	37	1	2	-268228.5333	27739.75654
May-09	1	96	137	39	3	1	-566555	26333.88244
Jun-09	1	10	11	2	2	1	389487.9	8546.190889
Jul-09	0	70	172	45	2	4	-174372.3	46524.51971
Aug-09	0	29	173	15	3	1	342085.1	34602.92288
Sep-09	1	159	104	22	5	4	367861.4	23017.40461
Oct-09	1	115	75	23	2	5	-69153.23333	13957.52848
Nov-09	0	106	83	41	2	4	299325.7	39021.93934
Dec-09	1	166	174	23	1	2	-1063191.167	16583.60305
Jan-10	1	191	62	12	4	5	597678.7	20482.61269
Feb-10	1	48	92	12	5	5	792117.0333	22261.58948
Mar-10	1	148	175	43	3	2	-459954.7667	13457.11899
Apr-10	0	137	140	45	3	5	713700.1667	36091.9061
May-10	0	47	31	36	1	3	-140488.7	31875.10525
Jun-10	0	96	97	9	2	4	934093.5333	32009.80397
Jul-10	0	141	127	48	4	4	1758127	40636.24319
Aug-10	1	159	91	7	3	1	-259641.9333	11767.97115
Sep-10	1	186	46	32	3	2	407732.3333	16478.43561
Oct-10	1	24	198	10	5	3	355705.4333	25711.74983
Nov-10	1	180	62	15	1	1	-592274.0667	14749.99157
Dec-10	1	43	121	7	4	2	730484.7333	20335.93692
Jan-11	0	102	72	44	1	2	-671561.5667	23457.82028
Feb-11	0	163	63	1	5	1	719678.0667	38533.28066
Mar-11	1	196	92	42	1	5	-1222577.333	11763.6294
Apr-11	1	199	43	29	1	4	-789797.3667	14944.18966
May-11	1	20	189	30	5	4	348330.7333	20890.07873
Jun-11	1	188	49	16	5	1	-195142.2667	23174.72151
Jul-11	1	104	71	31	4	3	910980.3333	18457.85626
Aug-11	0	90	15	10	1	4	346969.0667	27159.56961
Sep-11	0	84	108	20	5	3	2065470.1	34144.63808
Oct-11	1	100	10	12	3	1	583021.4333	19593.76582
Nov-11	0	25	188	45	3	3	754443.5	29715.24901
Dec-11	1	149	184	25	3	3	-188388.5667	30602.61487
Jan-12	1	22	83	39	3	5	531261.3333	19562.31668
Feb-12	1	188	96	16	1	2	-758254.5333	16189.27251
Mar-12	0	162	54	44	2	5	192620.7667	32307.33287
Apr-12	0	136	157	36	3	4	796262.4	38454.81853
May-12	1	191	31	19	1	2	-458215.1667	20869.81366
Jun-12	0	195	98	14	2	3	550216.7667	33303.89727
Jul-12	1	175	147	6	2	1	-632482.5	23524.02427
Aug-12	0	126	162	3	1	4	-390208.2667	43974.61283
Sep-12	0	87	27	45	2	4	717429.5	35155.20829
Oct-12	0	154	88	27	4	5	1946697.567	30215.45841
Nov-12	0	56	37	4	5	3	2761521.067	32514.94788
Dec-12	1	171	41	11	3	2	683124.9667	18162.53217
Jan-13	1	129	126	17	2	3	-229017.8	29802.40015
Feb-13	0	103	187	24	2	2	160442.8333	26073.70843
Mar-13	0	20	16	16	4	3	688135.8667	29139.70554
Apr-13	1	128	140	29	5	3	306696.8333	14907.1808
May-13	0	19	195	27	2	5	269983.2	29887.96037
Jun-13	1	138	22	47	2	4	202771.6333	24208.78673
Jul-13	0	191	80	45	2	2	-85844.36667	37692.38137
Aug-13	1	43	16	48	1	3	-142223	20041.62912
Sep-13	0	20	153	40	1	1	-716888.4333	13494.64373
Oct-13	0	134	47	2	2	1	673859.9	27434.25645
Nov-13	0	113	18	10	1	2	360954.0667	28823.7902
Dec-13	1	189	106	3	5	2	369268.4667	25519.64283
Jan-14	0	65	104	16	2	1	302405.2667	24620.79617
Feb-14	0	141	66	29	3	4	1594152.267	34010.85709
Mar-14	1	196	115	12	2	5	-489969.6333	12849.2194
Apr-14	1	45	105	17	2	3	132851.9	17153.36153
May-14	0	83	64	38	2	2	523045.7	35163.69822
Jun-14	1	157	106	40	5	3	418789.4667	24182.04561
Jul-14	0	130	104	19	3	2	1252689.533	28055.81332
Aug-14	1	44	106	25	3	5	499917.4	20321.3234
Sep-14	1	122	141	28	1	3	-861910.3667	18672.10592
Oct-14	1	21	114	35	2	5	-80808.9	18626.66924
Nov-14	1	74	12	36	5	1	361448.7	21610.39101
Dec-14	0	162	67	47	5	2	2056861.7	53124.04342
Jan-15	0	69	123	4	1	5	-159476.3	16308.96133
Feb-15	1	134	87	48	2	1	-603330.0333	25505.89785
Mar-15	1	112	73	4	5	4	795317.8333	22028.96612
Apr-15	0	55	93	34	1	3	-460251.9	18458.14041
May-15	1	199	89	19	3	1	-495351.8667	13286.10828
Jun-15	1	157	115	28	3	3	177130.9	21338.76254
Jul-15	1	156	47	25	4	3	985393.1667	17702.22184
Aug-15	0	170	183	20	4	2	1105023.467	30426.71525
Sep-15	1	94	10	8	3	4	1104444.567	16788.68431
Oct-15	0	60	143	22	2	4	513818.1667	22983.4401
Nov-15	1	158	166	15	3	1	-639637.9333	16648.23755
Dec-15	0	108	189	37	5	1	-466345.9667	40194.6211
Jan-16	1	105	56	42	5	3	956977.3	18884.44287
Feb-16	0	112	121	12	3	2	1355410.5	23051.55246
Mar-16	1	110	28	6	3	4	1191221.167	24064.40322
Apr-16	0	106	142	48	4	2	925456.6667	22758.96242
May-16	1	199	50	41	5	5	605076.4	23685.94485
Jun-16	1	177	137	35	2	2	-607304.6333	17726.70834
Jul-16	0	136	16	12	4	2	2599901.833	27512.54648
Aug-16	0	117	112	18	5	5	1823284.533	21741.34165
Sep-16	0	132	14	7	2	1	893375.3	26485.83179
Oct-16	1	80	111	39	3	1	-388132.8667	12400.77854
Nov-16	0	44	143	39	5	1	-118652.2	40927.28785
Dec-16	1	43	115	27	3	2	398977.2	13465.67868
Jan-17	1	120	42	12	2	4	343735.7667	25898.74613
Feb-17	1	149	46	24	2	2	135254.0667	23290.49609
Mar-17	0	195	65	1	1	4	-176405.7	35373.32115
Apr-17	0	71	34	1	2	3	1667132.267	32640.67333
May-17	1	198	81	33	3	2	61183.7	15044.07245
Jun-17	0	24	72	47	1	3	-531309.2333	26181.98202
Jul-17	0	140	22	14	3	4	2363253.933	39484.29495
Aug-17	0	113	105	7	3	3	1823433.1	26492.04403
Sep-17	1	117	151	43	3	5	-142547.8333	37631.13264
Oct-17	1	168	113	45	2	2	-526201.5667	18722.92595
Nov-17	1	23	89	39	3	3	593875.4667	21067.42338
Dec-17	0	192	166	24	2	5	-127465.2	37124.9255
Jan-18	1	75	124	22	4	5	517684.3333	23195.74618
Feb-18	0	104	41	45	3	1	149017.7667	22571.80866
Mar-18	1	154	50	17	1	3	-510490.4333	24251.19711
Apr-18	1	165	110	26	3	3	190476.9333	17589.41942
May-18	1	80	64	35	1	2	-446511	19148.92362
Jun-18	0	99	103	21	4	2	1730885.733	26933.32441
Jul-18	0	46	164	44	4	2	1027759.367	17255.82204
Aug-18	0	158	121	6	5	1	260801.7667	34351.576
Sep-18	0	170	112	47	1	5	-1355345.633	34656.76933
Oct-18	0	85	195	17	4	2	1320116.6	31373.43691
Nov-18	1	15	153	6	3	2	463815.8333	18426.82152
Dec-18	0	111	53	31	2	5	641207.2667	30956.26095
Jan-19	0	66	63	12	1	4	25944.83333	33642.66782
Feb-19	1	85	30	40	3	3	906285.2	20646.54041
Mar-19	0	50	45	43	4	2	1525262.767	22851.90829
Apr-19	1	156	106	20	1	5	-945407.7333	18762.97078
May-19	1	97	99	16	5	4	638428.4667	18580.42433
Jun-19	0	186	172	17	3	2	662613.3	35348.29741
Jul-19	0	18	171	47	1	2	-879368.6	17764.93811
Aug-19	0	71	174	4	2	2	711737.0667	20585.89999
Sep-19	0	37	71	15	3	1	771032.7	23380.55292
Oct-19	1	91	42	2	1	4	-197965.7667	15692.78954
Nov-19	1	175	127	39	1	2	-1045667.333	12313.57783
Dec-19	0	14	198	20	5	5	1644186.5	33047.59057
Jan-20	0	174	105	24	2	5	222267.9667	40751.26436
Feb-20	1	163	88	39	3	1	-547560.6333	13760.45198
Mar-20	1	17	128	43	4	4	661010.7333	25213.44341
Apr-20	0	87	66	50	3	1	-83114.83333	31699.96191
May-20	0	170	126	23	4	1	-73853.2	26428.86574
Jun-20	0	43	86	48	5	3	2006853.9	30088.46879
Jul-20	1	156	34	44	3	2	523879.3333	13843.11209
Aug-20	0	80	60	18	5	1	655578.2667	42116.92127
Sep-20	0	143	44	6	4	5	2409405.567	31245.20844
Oct-20	0	199	172	24	5	1	-437146.6667	22976.25391
Nov-20	1	107	107	31	5	4	498205.8333	23573.8699
Dec-20	1	56	19	43	2	2	472904.1	19740.66165
Jan-21	0	105	126	34	4	2	1286821.033	30015.42647
Feb-21	1	44	123	36	4	2	454472.7333	23247.67503
Mar-21	0	150	123	1	1	1	-211612.3	23313.58547
Apr-21	0	29	174	21	2	1	24395.36667	16269.88944
May-21	1	49	110	14	3	3	653748.3333	20069.48771
Jun-21	0	117	99	8	1	5	-274181.5667	22173.67668
Jul-21	0	21	167	4	2	3	935928.0333	44971.7093
Aug-21	1	156	150	16	2	4	-476544.5	16828.65563
Sep-21	1	100	16	6	1	4	-41081.53333	20286.20049
Oct-21	0	14	105	41	2	1	-70294.63333	28738.61994
Nov-21	1	40	117	10	3	3	630995.8	27014.12558
Dec-21	1	127	18	48	3	2	779057.1	17285.10075
Jan-22	0	172	73	44	5	1	-275797.5	37952.78743
Feb-22	0	174	24	49	5	3	2502731.267	34636.092
Mar-22	1	54	10	40	2	1	310961.7667	17610.68251
Apr-22	0	187	44	28	2	4	601252.0333	35774.7932
May-22	1	49	30	33	4	2	888817.7667	17264.128
Jun-22	0	177	197	41	3	5	283743.1333	54525.98037
Jul-22	1	87	23	47	5	4	1022123.867	19666.81494
Aug-22	1	155	109	41	5	3	380711.7333	24085.07835
Sep-22	1	152	146	41	1	3	-1092504.167	19350.01022
Oct-22	0	167	104	49	3	2	506615.6667	27467.10867
Nov-22	0	94	16	14	2	3	1515190.167	31833.6117
Dec-22	1	99	77	23	1	3	-504548.4	19041.30828
Jan-23	0	154	52	25	5	2	2264529.067	30470.81461
Feb-23	0	188	121	42	2	3	-139062.8333	29219.61478
Mar-23	1	199	182	4	1	1	-953983.0333	20260.09157
Apr-23	0	46	24	35	1	4	-136579.3	26987.11898
May-23	0	74	190	33	3	1	-335366.8333	34585.18054
Jun-23	0	76	15	27	3	1	869119.7	29176.40584
Jul-23	0	138	42	23	3	1	498357.1667	22563.93353
Aug-23	1	102	116	29	3	2	182166.2333	12476.31764
Sep-23	1	12	48	7	2	2	613025.1	20932.10442
Oct-23	1	67	46	40	2	4	228955.1333	21698.81323
Nov-23	0	99	129	13	3	5	1527580.767	30583.29656
Dec-23	1	156	107	22	2	2	-275216.9333	14728.64771
Jan-24	1	103	130	34	5	2	423252.8333	28182.31072
Feb-24	1	175	10	41	5	2	1332415.1	24358.46256
Mar-24	0	161	116	17	3	5	1393206.033	38611.18044
Apr-24	1	182	16	20	5	3	1257256.367	20393.19401
May-24	1	136	144	43	1	3	-1047236.633	19218.3091
Jun-24	1	184	188	43	5	3	-124675.2667	20113.7264
Jul-24	1	94	154	25	2	2	-324529.4	25782.34003
Aug-24	1	116	61	5	4	2	1004392.267	16665.79688
Sep-24	1	20	58	21	3	1	277229.7667	17357.54711
Oct-24	0	130	79	16	2	1	207170.3333	24940.19976
Nov-24	1	90	59	17	4	5	946205.6333	20702.85306
Dec-24	0	161	138	46	2	5	-410354.6	34855.69695
Jan-25	0	60	67	49	5	4	2008182.067	29096.61225
Feb-25	0	132	81	40	4	2	1463446.467	63931.79503
Mar-25	0	200	102	41	5	5	1650975.367	28646.93809
Apr-25	1	121	151	45	1	3	-1050148.9	25498.70569
May-25	1	85	137	33	5	5	304659.1667	14361.53693
Jun-25	0	70	149	24	2	2	413909.7	31727.93483
Jul-25	0	52	178	27	1	1	-587766.8	24247.72168
Aug-25	1	136	190	13	3	3	-119526.6333	33147.23992
Sep-25	0	62	112	2	4	1	773368.9333	43786.20373
Oct-25	1	151	48	42	4	2	701588.7667	18419.46665
Nov-25	1	157	94	2	3	4	512332.6667	22060.64461
Dec-25	1	47	55	4	2	2	553395.3667	13848.91421
